
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.0.5.RELEASE)

2018-10-11 13:56:47.930  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMEMPEMP, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMEMPEMP, moveMaxCount=null)
2018-10-11 13:56:47.932  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMEMPEMP delCount: 0
2018-10-11 13:56:47.945  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMEMPEMP readyCount: 0
2018-10-11 13:56:47.946  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMEMPEMP, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMEMPEMP, moveMaxCount=null)
2018-10-11 13:56:47.946  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMMISMIS, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMMISMIS, moveMaxCount=null)
2018-10-11 13:56:47.965  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMMISMIS delCount: 0
2018-10-11 13:56:47.992  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMMISMIS readyCount: 0
2018-10-11 13:56:47.992  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMMISMIS, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMMISMIS, moveMaxCount=null)
2018-10-11 13:56:47.992  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMREPREP, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMREPREP, moveMaxCount=null)
2018-10-11 13:56:48.011  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMREPREP delCount: 0
